frame_id,pred_label,description,numeric_score,phone_risk,smoothed_label
0,1,night slow safe_distance,45,safe,0
58,0,day slow traffic_jam_proximity pedestrian_crossing,68,danger,2
59,0,day slow traffic_jam_proximity pedestrian_crossing,76,danger,2
118,0,day slow traffic_jam_proximity pedestrian_crossing,68,safe,1
119,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
178,0,day slow traffic_jam_proximity pedestrian_crossing,76,danger,2
179,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,2
238,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
239,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
298,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
299,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
358,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,0
359,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,0
418,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
419,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
478,0,day slow traffic_jam_proximity pedestrian_crossing,86,danger,2
479,0,day slow traffic_jam_proximity pedestrian_crossing,86,danger,2
538,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,1
539,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
598,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,2
599,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
658,0,day slow traffic_jam_proximity pedestrian_crossing,59,danger,2
659,0,day slow traffic_jam_proximity pedestrian_crossing,51,danger,2
718,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
719,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
778,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,0
779,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,0
838,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,0
839,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,0
898,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
899,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
958,1,day slow safe_distance,35,safe,1
959,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,1
1017,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,1
1018,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,1
1077,0,day slow traffic_jam_proximity pedestrian_crossing,79,danger,2
1078,0,day slow traffic_jam_proximity,79,safe,0
1137,0,day slow traffic_jam_proximity,69,safe,1
1138,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
1197,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
1198,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,0
1257,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
1258,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,1
1317,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
1318,0,day slow traffic_jam_proximity pedestrian_crossing,84,danger,2
1377,0,day slow traffic_jam_proximity pedestrian_crossing,88,safe,0
1378,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,1
1437,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,1
1438,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,1
1497,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
1498,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
1557,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
1558,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,1
1617,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,1
1618,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,1
1677,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
1678,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
1737,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,0
1738,0,day slow traffic_jam_proximity pedestrian_crossing,88,safe,0
1797,0,day slow traffic_jam_proximity pedestrian_crossing,96,danger,2
1798,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,1
1857,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
1858,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,0
1917,0,night slow traffic_jam_proximity pedestrian_crossing,86,safe,0
1918,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,1
1977,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,0
1978,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,0
2036,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
2037,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
2096,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,1
2097,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,1
2156,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,0
2157,0,day slow traffic_jam_proximity,64,safe,0
2216,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,2
2217,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
2276,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
2277,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,1
2336,0,day slow traffic_jam_proximity pedestrian_crossing,74,safe,1
2337,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
2396,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
2397,0,day slow traffic_jam_proximity pedestrian_crossing,74,safe,1
2456,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,1
2457,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,0
2516,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
2517,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,0
2576,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,0
2577,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,0
2636,0,day slow traffic_jam_proximity pedestrian_crossing,84,danger,2
2637,0,day slow traffic_jam_proximity pedestrian_crossing,84,danger,2
2696,0,day slow traffic_jam_proximity pedestrian_crossing,61,safe,0
2697,0,day slow traffic_jam_proximity pedestrian_crossing,61,safe,0
2756,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,1
2757,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
2816,0,day slow traffic_jam_proximity pedestrian_crossing,69,safe,1
2817,0,day slow traffic_jam_proximity pedestrian_crossing,69,safe,1
2876,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,1
2877,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
2936,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
2937,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,1
2996,0,day slow traffic_jam_proximity,69,safe,1
2997,0,day slow traffic_jam_proximity,56,safe,0
3055,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
3056,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
3115,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
3116,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,1
3175,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
3176,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
3235,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,0
3236,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,1
3295,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,1
3296,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,2
3355,0,day slow traffic_jam_proximity pedestrian_crossing,86,safe,2
3356,0,day slow traffic_jam_proximity pedestrian_crossing,63,safe,1
3415,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
3416,0,day slow traffic_jam_proximity pedestrian_crossing,99,safe,0
3475,0,night slow traffic_jam_proximity pedestrian_crossing,100,safe,1
3476,0,night slow traffic_jam_proximity pedestrian_crossing,100,safe,0
3535,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
3536,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,1
3595,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,1
3596,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,2
3655,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
3656,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,2
3715,0,day slow traffic_jam_proximity,76,safe,0
3716,0,day slow traffic_jam_proximity pedestrian_crossing,69,safe,0
3775,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,0
3776,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
3835,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
3836,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
3895,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,1
3896,0,day slow traffic_jam_proximity pedestrian_crossing,61,safe,1
3955,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
3956,0,day slow traffic_jam_proximity pedestrian_crossing,81,safe,0
4014,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
4015,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
4074,0,day slow traffic_jam_proximity pedestrian_crossing,69,safe,1
4075,0,day slow traffic_jam_proximity pedestrian_crossing,69,safe,0
4134,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
4135,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
4194,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,1
4195,0,day slow traffic_jam_proximity pedestrian_crossing,96,safe,0
4254,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
4255,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
4314,0,night slow traffic_jam_proximity pedestrian_crossing,89,safe,0
4315,0,night slow traffic_jam_proximity pedestrian_crossing,94,safe,0
4374,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
4375,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
4434,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,1
4435,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
4494,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
4495,0,day slow traffic_jam_proximity pedestrian_crossing,76,safe,0
4554,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
4555,0,day slow traffic_jam_proximity,86,safe,0
4614,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,0
4615,0,day slow traffic_jam_proximity pedestrian_crossing,91,safe,0
4674,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
4675,0,day slow traffic_jam_proximity pedestrian_crossing,69,safe,2
4734,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
4735,0,day slow traffic_jam_proximity,84,safe,2
4794,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
4795,0,day slow traffic_jam_proximity pedestrian_crossing,100,safe,0
4854,0,day slow traffic_jam_proximity pedestrian_crossing,74,safe,0
4855,0,day slow traffic_jam_proximity pedestrian_crossing,74,safe,0
4914,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
4915,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
4974,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
4975,0,day slow traffic_jam_proximity pedestrian_crossing,79,safe,0
5033,0,day slow traffic_jam_proximity pedestrian_crossing,84,safe,0
5034,0,day slow traffic_jam_proximity pedestrian_crossing,89,safe,0
5093,0,day slow traffic_jam_proximity pedestrian_crossing,98,safe,2
5094,0,day slow traffic_jam_proximity pedestrian_crossing,98,safe,0
5153,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,1
5154,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
5213,0,day slow traffic_jam_proximity pedestrian_crossing,94,safe,0
